outbreakId,eventId,animalCategory,startDate,endDate,totalCases,isCluster,longitude,latitude,active,totalOutbreaks,locationName,locationApprox,status,animalCategoryLabel,isClusterLabel,diseaseName,diseaseCategory,diseaseType,speciesDetails
176430,7168,domestic,2026-01-01,2026-01-05,,False,35.179,32.651,,1,Sde Yaakov,False,,,,clade 2.3.4.4.b - H5N2 (HPAI) - Eurasian,OIE listed,,[{'spicieName': 'Birds'}]
181489,7168,domestic,2026-02-20,,8000.0,False,35.1946,32.6902,,1,NAHALAL,False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
180471,7258,domestic,2026-02-08,2026-02-12,24151.0,False,16.368455,51.2554118,,1,Prochowice,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
187023,7453,domestic,2026-03-19,,4744.0,False,82.139561,22.11447,,1,"Government Poultry Farm, Koni",True,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
180807,7262,domestic,2026-02-13,2026-02-21,12.0,False,90.794333,27.038646,,1,Trong gewog,True,,,,clade 2.3.4.4.b - H5N1 (HPAI) - EU_NA,OIE listed,,[{'spicieName': 'Birds'}]
180808,7262,domestic,2026-02-13,2026-02-21,3.0,False,90.75453,26.958395,,1,Pangkhar,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
180965,7268,domestic,2026-01-30,,15.0,False,78.918842,13.559662,,1,"Village - Puttavaripalliu, Mandal- Sodum, Annamayya",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
180966,7268,domestic,2026-01-18,,5.0,False,78.916978,13.571867,,1,"Village - Ammagaripalli,  Mandal – Sodum, Annamayya",True,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
180967,7268,domestic,2026-02-06,,1875.0,False,79.429647,13.3957,,1,"Indira Colony RKVB Peta, Kravetinagar",True,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
182265,7319,domestic,2026-02-11,,350.0,False,85.097286,25.589547,,1,"Poultry Research & Training Centre, Kaushal Nagar, Chitkhora",False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184327,7319,domestic,2026-02-24,,210.0,False,85.080897,25.594622,,1,"AICRP Poultry Breeding, BASU Campus, Patna",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
180046,7254,domestic,2026-02-05,,9708.0,False,15.3941754,53.3361518,,1,Szadzko,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
182223,7313,domestic,2026-02-25,2026-03-03,,False,16.06105,56.37683,,1,Torsås,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
178754,7228,domestic,2026-01-24,2026-01-29,3980.0,False,20.508264,46.872206,,1,Békésszentandrás,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
178755,7228,domestic,2026-01-24,2026-01-30,1220.0,False,20.739347,46.523035,,1,Orosháza,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
179528,7228,domestic,2026-02-02,2026-02-04,438.0,False,21.003727,46.316516,,1,Battonya,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
186686,7446,domestic,2026-03-16,,95000.0,False,-3.21938,7.2978,,1,tankesse,False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184546,7386,domestic,2026-03-15,,5850.0,False,87.632086,26.637781,,1,"Koshi Province, Morang, Urlabari Municipality-8 Athiyabari",False,,,,empty strain - H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184652,7386,domestic,2026-03-10,,1306.0,False,87.301262,26.643438,,1,"Koshi Province, Morang, Sunderharaicha Municipality-4, Chariguwa",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184672,7386,domestic,2026-03-12,,2500.0,False,87.31666667,26.45138889,,1,"Koshi Province, Morang, Katahari Rural Municipality-2, Haldibari",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184674,7386,domestic,2026-03-12,,660.0,False,87.255,26.69861111,,1,"Koshi Province, Sunsari, Itahari Submetropolitan city-19",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184948,7386,domestic,2026-03-13,,9730.0,False,87.37123,26.49982,,1,"Koshi Province, Morang, Katahari Rural Municipality-6, Paini tole",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184949,7386,domestic,2026-03-15,,682.0,False,87.22806,26.70167,,1,"Koshi Province, Sunsari, Itahari Submetropolitan city-18",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184952,7386,domestic,2026-03-15,,25.0,False,87.22556,26.66472,,1,"Koshi Province, Sunsari, Itahari Submetropolitan city-17",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
184955,7386,domestic,2026-03-16,,350.0,False,87.28444,26.61944,,1,"Koshi Province, Sunsari, Itahari Submetropolitan city-11",False,,,,H5N1 (HPAI),OIE listed,,[{'spicieName': 'Birds'}]
